File Name,Root Directory,File Size (MB),File Size (GB)
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E04.Extra.Space.for.Blended.Family.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E04.Extra.Space.for.Blended.Family.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E04.Extra.Space.for.Blended.Family.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.3,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E05.Expectant.Couple.Seeks.Nest.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E05.Expectant.Couple.Seeks.Nest.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E05.Expectant.Couple.Seeks.Nest.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.31,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E06.High.School.Friend.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E06.High.School.Friend.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E06.High.School.Friend.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.61,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E07.Sports.Chaplain.Tackles.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E07.Sports.Chaplain.Tackles.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E07.Sports.Chaplain.Tackles.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.5,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E08.New.Homebuyers.Prefer.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E08.New.Homebuyers.Prefer.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E08.New.Homebuyers.Prefer.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.58,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E09.Couple.Seeks.A.Unique.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E09.Couple.Seeks.a.Unique.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E09.Couple.Seeks.A.Unique.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.37,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E10.Three.Generations.One.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E10.Three.Generations.One.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E10.Three.Generations.One.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.62,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E11.Country.Couple.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E11.Country.Couple.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E11.Country.Couple.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.37,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E12.Island.Family.Seeks.Space.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E12.Island.Family.Seeks.Space.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E12.Island.Family.Seeks.Space.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.37,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E01.1080p.WEB.H264-PFa\Fixer.Upper.S03E01.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E01.1080p.WEB.H264-PFa,1915.13,1.87
